,idCat,nombreCat,nivel1,nivel2,nivel3,tipo_arbol,# codigo,descripcion,folder_id
92,826.0,KIWI,ALIMENTOS,FRUTAS Y VERDURAS FRESCAS,FRUTAS Y VERDURAS FRESCAS,111_arbol,,,data20220913
93,870.0,LECHUGA,ALIMENTOS,FRUTAS Y VERDURAS FRESCAS,FRUTAS Y VERDURAS FRESCAS,111_arbol,,,data20220913
94,806.0,LIMON,ALIMENTOS,FRUTAS Y VERDURAS FRESCAS,FRUTAS Y VERDURAS FRESCAS,111_arbol,,,data20220913
95,807.0,MAMEY,ALIMENTOS,FRUTAS Y VERDURAS FRESCAS,FRUTAS Y VERDURAS FRESCAS,111_arbol,,,data20220913
96,808.0,MANDARINA,ALIMENTOS,FRUTAS Y VERDURAS FRESCAS,FRUTAS Y VERDURAS FRESCAS,111_arbol,,,data20220913
97,809.0,MANGO,ALIMENTOS,FRUTAS Y VERDURAS FRESCAS,FRUTAS Y VERDURAS FRESCAS,111_arbol,,,data20220913
98,810.0,MANZANA,ALIMENTOS,FRUTAS Y VERDURAS FRESCAS,FRUTAS Y VERDURAS FRESCAS,111_arbol,,,data20220913
99,811.0,MELON,ALIMENTOS,FRUTAS Y VERDURAS FRESCAS,FRUTAS Y VERDURAS FRESCAS,111_arbol,,,data20220913
100,812.0,NARANJA,ALIMENTOS,FRUTAS Y VERDURAS FRESCAS,FRUTAS Y VERDURAS FRESCAS,111_arbol,,,data20220913
101,871.0,NOPAL,ALIMENTOS,FRUTAS Y VERDURAS FRESCAS,FRUTAS Y VERDURAS FRESCAS,111_arbol,,,data20220913
102,872.0,PAPA,ALIMENTOS,FRUTAS Y VERDURAS FRESCAS,FRUTAS Y VERDURAS FRESCAS,111_arbol,,,data20220913
103,813.0,PAPAYA,ALIMENTOS,FRUTAS Y VERDURAS FRESCAS,FRUTAS Y VERDURAS FRESCAS,111_arbol,,,data20220913
104,873.0,PEPINO,ALIMENTOS,FRUTAS Y VERDURAS FRESCAS,FRUTAS Y VERDURAS FRESCAS,111_arbol,,,data20220913
105,814.0,PERA,ALIMENTOS,FRUTAS Y VERDURAS FRESCAS,FRUTAS Y VERDURAS FRESCAS,111_arbol,,,data20220913
106,827.0,PERON,ALIMENTOS,FRUTAS Y VERDURAS FRESCAS,FRUTAS Y VERDURAS FRESCAS,111_arbol,,,data20220913
107,874.0,PIMIENTO,ALIMENTOS,FRUTAS Y VERDURAS FRESCAS,FRUTAS Y VERDURAS FRESCAS,111_arbol,,,data20220913
108,816.0,PLATANO,ALIMENTOS,FRUTAS Y VERDURAS FRESCAS,FRUTAS Y VERDURAS FRESCAS,111_arbol,,,data20220913
109,817.0,SANDIA,ALIMENTOS,FRUTAS Y VERDURAS FRESCAS,FRUTAS Y VERDURAS FRESCAS,111_arbol,,,data20220913
110,9028.0,TAMARINDO,ALIMENTOS,FRUTAS Y VERDURAS FRESCAS,FRUTAS Y VERDURAS FRESCAS,111_arbol,,,data20220913
111,877.0,TOMATE,ALIMENTOS,FRUTAS Y VERDURAS FRESCAS,FRUTAS Y VERDURAS FRESCAS,111_arbol,,,data20220913
112,820.0,TORONJA,ALIMENTOS,FRUTAS Y VERDURAS FRESCAS,FRUTAS Y VERDURAS FRESCAS,111_arbol,,,data20220913
113,821.0,TUNA,ALIMENTOS,FRUTAS Y VERDURAS FRESCAS,FRUTAS Y VERDURAS FRESCAS,111_arbol,,,data20220913
114,822.0,UVA,ALIMENTOS,FRUTAS Y VERDURAS FRESCAS,FRUTAS Y VERDURAS FRESCAS,111_arbol,,,data20220913
115,879.0,ZANAHORIA,ALIMENTOS,FRUTAS Y VERDURAS FRESCAS,FRUTAS Y VERDURAS FRESCAS,111_arbol,,,data20220913
116,25.0,CHOCO KRISPIS,ALIMENTOS,"HARINAS, CEREALES, TORTILLAS Y HUEVO",CEREALES PREPARADOS,111_arbol,,,data20220913
117,24.0,CORN FLAKES,ALIMENTOS,"HARINAS, CEREALES, TORTILLAS Y HUEVO",CEREALES PREPARADOS,111_arbol,,,data20220913
118,26.0,ZUCARITAS,ALIMENTOS,"HARINAS, CEREALES, TORTILLAS Y HUEVO",CEREALES PREPARADOS,111_arbol,,,data20220913
119,165.0,HUEVO,ALIMENTOS,"HARINAS, CEREALES, TORTILLAS Y HUEVO",HUEVO,111_arbol,,,data20220913
120,22.0,HARINA DE ARROZ,ALIMENTOS,"HARINAS, CEREALES, TORTILLAS Y HUEVO",PAN Y DERIVADOS DEL TRIGO,111_arbol,,,data20220913
121,11.0,HARINA DE TRIGO,ALIMENTOS,"HARINAS, CEREALES, TORTILLAS Y HUEVO",PAN Y DERIVADOS DEL TRIGO,111_arbol,,,data20220913
122,12.0,HARINA HOT CAKES,ALIMENTOS,"HARINAS, CEREALES, TORTILLAS Y HUEVO",PAN Y DERIVADOS DEL TRIGO,111_arbol,,,data20220913
123,5.0,PAN BLANCO BOLILLO,ALIMENTOS,"HARINAS, CEREALES, TORTILLAS Y HUEVO",PAN Y DERIVADOS DEL TRIGO,111_arbol,,,data20220913
124,6.0,PAN DE CAJA,ALIMENTOS,"HARINAS, CEREALES, TORTILLAS Y HUEVO",PAN Y DERIVADOS DEL TRIGO,111_arbol,,,data20220913
125,8.0,PASTELILLOS Y PAN DULCE EMPAQUETADO,ALIMENTOS,"HARINAS, CEREALES, TORTILLAS Y HUEVO",PAN Y DERIVADOS DEL TRIGO,111_arbol,,,data20220913
126,4.0,TORTILLA DE HARINA DE TRIGO,ALIMENTOS,"HARINAS, CEREALES, TORTILLAS Y HUEVO",PAN Y DERIVADOS DEL TRIGO,111_arbol,,,data20220913
127,1.0,HARINA DE MAIZ,ALIMENTOS,"HARINAS, CEREALES, TORTILLAS Y HUEVO",TORTILLAS Y DERIVADOS DEL MAIZ,111_arbol,,,data20220913
128,2.0,TORTILLA DE MAIZ,ALIMENTOS,"HARINAS, CEREALES, TORTILLAS Y HUEVO",TORTILLAS Y DERIVADOS DEL MAIZ,111_arbol,,,data20220913
129,145.0,CREMA,ALIMENTOS,"LACTEOS, SALCHICHONERIA Y PRODUCTOS EN REFRIG.",LACTEOS,111_arbol,,,data20220913
130,162.0,FORMULA LACTEA,ALIMENTOS,"LACTEOS, SALCHICHONERIA Y PRODUCTOS EN REFRIG.",LACTEOS,111_arbol,,,data20220913
131,143.0,LECHE CONDENSADA,ALIMENTOS,"LACTEOS, SALCHICHONERIA Y PRODUCTOS EN REFRIG.",LACTEOS,111_arbol,,,data20220913
